自定义SKU,ASIN（子Asin）,物品状况,价格,库存数量,发货方式,跟卖方式,跟卖时间,下架时间,备货周期(天)
 dfkfp8f19x,B08NC8QKHK,New,12.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 nzynyc54t3,B08G4T5DPJ,New,16.93,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 aknthmmzdt,B08VJ481SG,New,126,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 b8daai35b6,B082RC8YDN,New,19.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 j58nmasjn5,B073429DV2,New,46.8,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 1jj24pyxes,B07BM35319,New,17.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 35yk00tj5m,B07QTHK8K9,New,15.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 mhbk0hd7s7,B072375VWM,New,31.98,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 z9wpyn0r7c,B07SJXQQML,New,31.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 dkpesry1jm,B08V1YLGMQ,New,23.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 xr2mzpf6tx,B07HM64BSG,New,56.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 3y6yxhfb32,B07R63GHJV,New,51.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 r8i4t14tpy,B07V1K5FS6,New,21.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 i5hdn6m4tz,B00O2H8LPS,New,36.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 ck82pixdfn,B07QX3YJLH,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 aacxe3fp19,B08R6ZCDGF,New,135.5,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 fypw0pwcpc,B07DBDKDYY,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 tykh2xjet3,B08VJ4R7VD,New,136,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 f8m6p7040n,B07GSK5KLP,New,14.84,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 p2h654xjjp,B07R1XFBDS,New,16.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 dp1xik9mwd,B08X94Z99T,New,96.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 hff1ihn3e2,B07SJ3DCBC,New,14.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 3e9e0mmz25,B01MZBXVES,New,24.49,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 mnndad62s9,B075KXKHB8,New,16.95,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 e70byr0px5,B085D84WPM,New,96.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 f1dwt5app4,B08R71LJ3V,New,135.5,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 22di7z9805,B08R72MVKK,New,135.5,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 z3w7zzy27b,B07T4WYTNK,New,24.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 x08ts629p1,B08VJ4PKYW,New,126,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 rbrm2c0h76,B085DH4CGN,New,76.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 24w7dxm8pr,B08GFD4J52,New,59.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 jk3hm96kxy,B08JJFFK2Z,New,95.8,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 4t3dcd7yj1,B08DCWYTC5,New,54.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 6j2pb09yre,B08SQ6HFQ4,New,46.99,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
 27a2sk9tr9,B08T1XQ8YB,New,136,99,FBM,Normal,2021/5/24 14:00,2021/5/30 0:00,14
